Id;Lap;Actual laptimes
1;Lap 1;24,073
2;Lap 2;16,317
3;Lap 3;16,282
4;Lap 4;17,092
5;Lap 5;17,108
6;Lap 6;16,542
7;Lap 7;16,23
8;Lap 8;16,278
9;Lap 9;16,378
10;Lap 10;16,518
11;Lap 11;16,67
12;Lap 12;16,679
13;Lap 13;16,538
14;Lap 14;16,489
15;Lap 15;16,531
16;Lap 16;16,378
17;Lap 17;16,434
18;Lap 18;16,547
19;Lap 19;16,534
20;Lap 20;16,51
21;Lap 21;16,475
22;Lap 22;16,422
23;Lap 23;16,532
24;Lap 24;16,588
25;Lap 25;16,68
26;Lap 26;16,798
27;Lap 27;16,793
28;Lap 28;16,617
29;Lap 29;16,619
30;Lap 30;16,722
31;Lap 31;16,812
32;Lap 32;16,825
33;Lap 33;16,756
34;Lap 34;16,747
35;Lap 35;16,737
36;Lap 36;16,822
37;Lap 37;16,766
38;Lap 38;16,909
39;Lap 39;16,985
40;Lap 40;17,03
41;Lap 41;17,039
42;Lap 42;17,051
43;Lap 43;17,029
44;Lap 44;17,052
45;Lap 45;16,956
46;Lap 46;16,964
47;Lap 47;17,147
48;Lap 48;17,253
49;Lap 49;17,22
50;Lap 50;17,28
51;Lap 51;17,284
52;Lap 52;17,246
53;Lap 53;17,165
54;Lap 54;17,149
55;Lap 55;17,146
56;Lap 56;17,187
57;Lap 57;17,271
58;Lap 58;17,191
59;Lap 59;17,213
60;Lap 60;17,243
61;Lap 61;17,289
62;Lap 62;17,438
63;Lap 63;17,451
64;Lap 64;17,349
65;Lap 65;17,426
66;Lap 66;17,511
67;Lap 67;17,621
68;Lap 68;17,556
69;Lap 69;17,544
70;Lap 70;17,541
71;Lap 71;17,576
72;Lap 72;17,513
73;Lap 73;17,501
74;Lap 74;17,55
75;Lap 75;17,511
76;Lap 76;17,467
77;Lap 77;17,424
78;Lap 78;17,378
79;Lap 79;17,492
80;Lap 80;17,52
81;Lap 81;17,364
82;Lap 82;17,54
83;Lap 83;17,677
84;Lap 84;17,594
85;Lap 85;17,655
86;Lap 86;17,745
87;Lap 87;17,742
88;Lap 88;17,733
89;Lap 89;17,695
90;Lap 90;17,779
91;Lap 91;17,779
92;Lap 92;17,648
93;Lap 93;17,567
94;Lap 94;17,438
95;Lap 95;17,364
96;Lap 96;17,244
97;Lap 97;17,141
98;Lap 98;17,233
99;Lap 99;17,416
100;Lap 100;17,469
101;Lap 101;17,538
102;Lap 102;17,905
103;Lap 103;18,023
104;Lap 104;18,135
105;Lap 105;17,993
106;Lap 106;17,73
107;Lap 107;17,693
108;Lap 108;17,851
109;Lap 109;17,854
110;Lap 110;17,772
111;Lap 111;17,97
112;Lap 112;18,085
113;Lap 113;17,895
114;Lap 114;17,835
115;Lap 115;17,903
116;Lap 116;17,811
117;Lap 117;17,656
118;Lap 118;17,506
119;Lap 119;17,53
120;Lap 120;17,722
121;Lap 121;17,679
122;Lap 122;17,597
123;Lap 123;17,453
124;Lap 124;17,584
125;Lap 125;17,676
126;Lap 126;17,585
127;Lap 127;17,687
128;Lap 128;17,875
129;Lap 129;17,873
130;Lap 130;18,152
131;Lap 131;18,35
132;Lap 132;18,468
133;Lap 133;18,261
134;Lap 134;18,086
135;Lap 135;17,679
136;Lap 136;17,787
137;Lap 137;17,924
138;Lap 138;18,2
139;Lap 139;18,095
140;Lap 140;18,153
141;Lap 141;18,094
142;Lap 142;18,117
143;Lap 143;18,149
144;Lap 144;18,048
145;Lap 145;17,892
146;Lap 146;17,931
147;Lap 147;17,86
148;Lap 148;17,864
149;Lap 149;18,024
150;Lap 150;18,224
151;Lap 151;18,332
152;Lap 152;18,125
153;Lap 153;18,113
154;Lap 154;18,445
155;Lap 155;18,279
156;Lap 156;18,254
157;Lap 157;18,195
158;Lap 158;18,197
159;Lap 159;18,206
160;Lap 160;18,363
161;Lap 161;18,199
162;Lap 162;18,21
163;Lap 163;18,307
164;Lap 164;18,337
165;Lap 165;18,121
166;Lap 166;18,064
167;Lap 167;18,059
168;Lap 168;18,035
169;Lap 169;18,094
170;Lap 170;18,122
171;Lap 171;17,852
172;Lap 172;17,465
173;Lap 173;17,316
174;Lap 174;17,464
175;Lap 175;17,756
176;Lap 176;17,641
177;Lap 177;17,828
178;Lap 178;18,136
179;Lap 179;18
180;Lap 180;18,17
181;Lap 181;18,014
182;Lap 182;17,986
183;Lap 183;17,935
184;Lap 184;17,678
185;Lap 185;17,932
186;Lap 186;17,898
187;Lap 187;17,848
188;Lap 188;17,888
189;Lap 189;17,804
190;Lap 190;17,718
191;Lap 191;17,738
192;Lap 192;17,759
193;Lap 193;17,41
194;Lap 194;17,694
195;Lap 195;17,919
196;Lap 196;17,904
197;Lap 197;17,544
198;Lap 198;17,833
199;Lap 199;17,672
200;Lap 200;17,175
201;Lap 201;17,07
202;Lap 202;17,124
203;Lap 203;17,634
204;Lap 204;18,261
205;Lap 205;18,082
206;Lap 206;17,815
